Order ID,Order Date,Product,Category,Unit Price,Quantity,Total Sales,Customer Type,City,Payment Method
ORD101501,2025-01-05 10:45:22,Fitness Tracker Basic,Sports & Fitness,2467,1,2467,New,Kolkata,UPI
ORD102586,2025-01-29 05:01:36,Running Shoes,Sports & Fitness,3035,2,6070,Returning,Pune,Cash
ORD102653,2023-12-20 17:21:03,Bluetooth Speaker,Electronics,2570,1,2570,Returning,Delhi,Card
ORD101055,2025-02-09 13:59:11,Portable SSD 500GB,Electronics,4870,1,4870,Returning,Ahmedabad,Card
ORD100705,2024-03-25 11:22:33,Cushion Cover Pack,Home & Kitchen,368,1,368,Returning,Delhi,Netbanking
ORD100106,2025-09-09 01:08:37,Gym Gloves,Sports & Fitness,322,4,1288,New,Delhi,Cash
ORD100589,2023-08-24 22:50:42,Hand Blender,Home & Kitchen,1917,1,1917,Returning,Mumbai,UPI
ORD102468,2025-05-09 10:35:41,Gym Gloves,Sports & Fitness,401,5,2005,Returning,Bengaluru,Card
ORD102413,2024-12-27 20:12:34,HD Webcam,Electronics,1509,1,1509,Returning,Bengaluru,Card
ORD101600,2024-10-27 02:09:30,Jacket,Clothing,2524,1,2524,Returning,Chennai,Card
ORD102464,2024-05-22 19:47:13,Jacket,Clothing,2324,1,2324,New,Gurgaon,Cash
ORD100228,2023-09-15 03:56:48,Hand Sanitizer 200ml,Beauty & Personal Care,95,2,190,Returning,Ahmedabad,Card
ORD100915,2024-06-02 01:35:06,Running Shoes,Sports & Fitness,3146,4,12584,New,Kolkata,Card
ORD100794,2025-09-07 16:06:01,Milk 1L,Groceries,46,1,46,Returning,Chennai,Netbanking
ORD103021,2025-03-11 07:42:50,Tennis Racket,Sports & Fitness,2514,1,2514,New,Hyderabad,UPI
ORD103543,2025-10-23 23:02:21,Dinner Plate Set,Home & Kitchen,1523,3,4569,Returning,Noida,Card
ORD101073,2025-03-13 15:41:22,USB-C Charger,Electronics,929,1,929,Returning,Bengaluru,UPI
ORD103351,2024-06-08 05:03:28,Casual Shirt,Clothing,872,3,2616,Returning,Ahmedabad,Cash
ORD101744,2024-04-10 18:16:43,Eggs 12pcs,Groceries,119,1,119,New,Mumbai,UPI
ORD101084,2025-05-11 22:14:50,Milk 1L,Groceries,44,2,88,New,Pune,Card
ORD100926,2024-03-03 04:54:35,Wireless Mouse,Electronics,788,2,1576,Returning,Pune,Card
ORD103049,2024-12-06 12:37:33,Salt 1kg,Groceries,24,1,24,Returning,Delhi,Card
ORD101117,2024-06-18 08:49:05,Rice 5kg,Groceries,374,1,374,Returning,Mumbai,Card
ORD100642,2024-09-23 00:46:39,Face Wash,Beauty & Personal Care,210,1,210,New,Mumbai,Card
ORD104767,2023-12-11 10:34:46,Conditioner 200ml,Beauty & Personal Care,211,2,422,Returning,Noida,Card
ORD100501,2023-12-09 08:10:51,Sports Bottle,Sports & Fitness,306,1,306,Returning,Pune,Netbanking
ORD104066,2023-07-09 23:04:50,Tennis Racket,Sports & Fitness,2601,1,2601,New,Hyderabad,Cash
ORD100333,2025-09-15 01:07:47,Non-stick Pan,Home & Kitchen,1288,1,1288,New,Hyderabad,Cash
ORD104684,2023-12-29 22:47:30,Sports Bottle,Sports & Fitness,282,1,282,Returning,Pune,Card
ORD100486,2023-09-08 16:49:12,Storage Box Set,Home & Kitchen,536,2,1072,Returning,Kolkata,Card
ORD101962,2023-12-22 20:32:36,Lip Balm,Beauty & Personal Care,99,1,99,Returning,Mumbai,Card
ORD100393,2023-10-11 16:31:13,Sport Shorts,Clothing,589,1,589,Returning,Chennai,Card
ORD104842,2025-01-11 10:03:51,Sunscreen 50ml,Beauty & Personal Care,421,1,421,Returning,Hyderabad,Netbanking
ORD104866,2025-10-16 07:37:50,Sunscreen 50ml,Beauty & Personal Care,391,1,391,New,Noida,Card
ORD101755,2024-01-28 08:49:55,Vacuum Flask,Home & Kitchen,675,1,675,New,Noida,Card
ORD102515,2024-11-02 05:52:14,Resistance Bands,Sports & Fitness,583,1,583,Returning,Kolkata,Wallet
ORD103585,2023-04-07 20:08:56,Running Shoes,Sports & Fitness,3167,1,3167,Returning,Bengaluru,Card
ORD104315,2023-08-31 21:59:34,Tennis Racket,Sports & Fitness,2550,1,2550,New,Chennai,UPI
ORD104966,2024-12-19 05:35:19,Resistance Bands,Sports & Fitness,581,3,1743,Returning,Noida,Netbanking
ORD102099,2025-05-22 21:19:11,Cooking Oil 1L,Groceries,253,1,253,Returning,Chennai,Card
ORD103599,2024-12-22 19:02:42,Tennis Racket,Sports & Fitness,2507,1,2507,Returning,Noida,Netbanking
ORD104121,2024-12-20 14:18:28,Smartwatch Basic,Electronics,3064,2,6128,New,Chennai,Card
ORD100029,2023-07-29 01:40:06,Tea 250g,Groceries,202,5,1010,New,Hyderabad,Wallet
ORD100065,2023-11-04 09:09:13,Sport Shorts,Clothing,557,3,1671,Returning,Gurgaon,Cash
ORD100838,2024-01-14 18:30:48,Bluetooth Headphones,Electronics,2000,1,2000,Returning,Delhi,Card
ORD103906,2023-08-29 12:39:51,Shampoo 200ml,Beauty & Personal Care,208,1,208,New,Delhi,UPI
ORD103773,2024-02-13 11:39:31,Gym Gloves,Sports & Fitness,347,3,1041,Returning,Bengaluru,UPI
ORD104635,2025-05-07 21:53:35,Hand Sanitizer 200ml,Beauty & Personal Care,105,1,105,New,Delhi,Cash
ORD103161,2024-07-04 22:08:09,Wireless Mouse,Electronics,810,1,810,New,Noida,Wallet
ORD102659,2023-10-15 09:39:47,Jacket,Clothing,2412,3,7236,Returning,Hyderabad,Cash
ORD104615,2024-04-13 05:05:04,Tennis Racket,Sports & Fitness,2683,1,2683,New,Gurgaon,Wallet
ORD104628,2024-03-30 06:19:05,Cooking Oil 1L,Groceries,253,1,253,Returning,Kolkata,UPI
ORD102451,2024-04-17 11:07:18,Dumbbell 5kg,Sports & Fitness,1549,2,3098,New,Noida,Card
ORD102846,2025-07-18 14:24:39,Dinner Plate Set,Home & Kitchen,1372,1,1372,New,Hyderabad,Card
ORD101144,2024-12-31 19:46:37,Hand Sanitizer 200ml,Beauty & Personal Care,102,1,102,Returning,Kolkata,Netbanking
ORD103078,2024-02-16 05:17:53,Dumbbell 5kg,Sports & Fitness,1534,4,6136,New,Mumbai,Netbanking
ORD101103,2023-12-08 19:22:54,Cooking Oil 1L,Groceries,259,1,259,New,Noida,UPI
ORD100168,2024-05-10 02:40:02,Hoodie,Clothing,1507,2,3014,Returning,Gurgaon,UPI
ORD101670,2024-09-11 21:52:54,Conditioner 200ml,Beauty & Personal Care,200,3,600,Returning,Ahmedabad,Netbanking
ORD102570,2023-03-24 11:30:05,Eggs 12pcs,Groceries,122,1,122,Returning,Kolkata,UPI
ORD102377,2024-01-11 06:05:40,Smartwatch Basic,Electronics,2827,1,2827,Returning,Gurgaon,Card
ORD104395,2024-04-19 17:42:28,Protein Shaker,Sports & Fitness,417,1,417,New,Chennai,UPI
ORD104257,2024-11-06 23:26:03,Sneakers,Clothing,2743,1,2743,Returning,Chennai,Card
ORD103862,2023-09-22 13:11:56,Shampoo 200ml,Beauty & Personal Care,218,1,218,Returning,Pune,Netbanking
ORD100023,2024-01-18 16:43:37,Women T-Shirt,Clothing,493,1,493,Returning,Gurgaon,Wallet
ORD102633,2023-12-20 12:22:40,Lip Balm,Beauty & Personal Care,98,1,98,New,Pune,Cash
ORD103340,2024-07-14 17:43:03,Dumbbell 5kg,Sports & Fitness,1669,1,1669,Returning,Pune,Card
ORD102215,2025-01-28 14:58:27,Tea 250g,Groceries,199,4,796,New,Noida,Card
ORD103682,2023-05-30 00:34:47,Dress,Clothing,1832,1,1832,New,Noida,UPI
ORD104724,2024-10-23 09:19:51,Sneakers,Clothing,2394,2,4788,Returning,Delhi,Wallet
ORD101907,2023-03-24 09:39:21,Pasta 500g,Groceries,133,1,133,Returning,Hyderabad,Netbanking
ORD100084,2023-10-12 02:06:32,Gym Gloves,Sports & Fitness,352,1,352,Returning,Hyderabad,Card
ORD100227,2023-12-20 09:39:55,Gaming Keyboard,Electronics,2578,1,2578,Returning,Mumbai,Card
ORD100296,2023-05-04 05:33:48,Hoodie,Clothing,1571,1,1571,New,Hyderabad,Card
ORD101001,2024-11-21 14:29:47,Jacket,Clothing,2535,1,2535,New,Noida,Card
ORD102138,2023-05-25 10:51:25,Body Lotion,Beauty & Personal Care,238,1,238,Returning,Chennai,Cash
ORD100711,2024-04-20 13:22:56,Bed Sheets,Home & Kitchen,1764,1,1764,Returning,Pune,UPI
ORD102801,2024-06-01 06:38:28,HD Webcam,Electronics,1500,1,1500,New,Bengaluru,Card
ORD102527,2025-05-06 10:19:12,Conditioner 200ml,Beauty & Personal Care,203,1,203,New,Pune,UPI
ORD103752,2025-02-22 01:43:22,Fitness Tracker Basic,Sports & Fitness,2193,2,4386,Returning,Bengaluru,UPI
ORD103321,2023-05-31 12:41:33,Dinner Plate Set,Home & Kitchen,1398,2,2796,New,Ahmedabad,UPI
ORD103181,2024-05-23 20:50:10,4K Monitor,Electronics,20297,1,20297,New,Gurgaon,UPI
ORD104183,2025-04-16 13:27:29,Coffee 250g,Groceries,400,4,1600,New,Ahmedabad,Cash
ORD101615,2023-09-20 16:41:29,Resistance Bands,Sports & Fitness,538,3,1614,Returning,Delhi,Netbanking
ORD103024,2025-07-05 17:35:11,Casual Shirt,Clothing,909,1,909,Returning,Ahmedabad,Netbanking
ORD101413,2025-05-01 02:40:34,Lip Balm,Beauty & Personal Care,100,2,200,Returning,Pune,Card
ORD100763,2024-03-30 20:52:36,Protein Shaker,Sports & Fitness,374,1,374,Returning,Kolkata,Card
ORD100655,2023-12-30 00:32:27,Wheat Flour 5kg,Groceries,323,3,969,New,Delhi,UPI
ORD104797,2024-03-12 08:59:57,Lip Balm,Beauty & Personal Care,101,1,101,Returning,Mumbai,Card
ORD103849,2025-08-31 04:55:59,Noise Cancelling Earbuds,Electronics,3603,1,3603,New,Delhi,Cash
ORD104153,2024-01-15 13:23:02,Salt 1kg,Groceries,23,1,23,New,Bengaluru,Cash
ORD100468,2023-06-02 17:07:49,Yoga Mat,Sports & Fitness,877,2,1754,New,Gurgaon,Card
ORD100157,2025-01-18 23:56:03,Running Shoes,Sports & Fitness,3085,4,12340,Returning,Ahmedabad,Card
ORD101295,2024-11-18 16:51:29,Sneakers,Clothing,2411,1,2411,Returning,Mumbai,Card
ORD100497,2025-04-13 08:42:45,Wheat Flour 5kg,Groceries,329,1,329,New,Bengaluru,Cash
ORD104740,2023-11-26 23:56:43,Milk 1L,Groceries,45,1,45,New,Bengaluru,Wallet
ORD102940,2025-11-03 14:27:27,Conditioner 200ml,Beauty & Personal Care,205,4,820,Returning,Mumbai,Card
ORD103456,2025-10-02 10:58:20,Lip Balm,Beauty & Personal Care,102,1,102,Returning,Noida,Netbanking
ORD100373,2023-07-26 11:50:00,4K Monitor,Electronics,19636,2,39272,New,Bengaluru,Wallet
ORD100079,2025-02-16 19:18:34,Wireless Mouse,Electronics,730,3,2190,New,Mumbai,Netbanking
ORD101553,2024-06-27 23:29:35,Deodorant,Beauty & Personal Care,282,1,282,New,Bengaluru,UPI
ORD101669,2024-10-15 09:02:07,Wireless Mouse,Electronics,775,1,775,Returning,Gurgaon,Cash
ORD102131,2023-04-23 00:09:00,Skipping Rope,Sports & Fitness,194,3,582,Returning,Hyderabad,Cash
ORD104439,2024-09-11 10:46:01,Hand Blender,Home & Kitchen,1916,1,1916,Returning,Kolkata,Cash
ORD100465,2023-12-09 21:22:35,Tea 250g,Groceries,224,2,448,Returning,Mumbai,Cash
ORD100248,2025-06-24 20:43:13,Men Tee,Clothing,414,1,414,New,Chennai,UPI
ORD100931,2024-02-26 11:17:22,Skipping Rope,Sports & Fitness,181,1,181,Returning,Gurgaon,UPI
ORD101335,2025-04-18 13:49:46,Gym Gloves,Sports & Fitness,331,1,331,New,Ahmedabad,Card
ORD104524,2024-08-21 11:16:33,Jacket,Clothing,2532,3,7596,Returning,Ahmedabad,Cash
ORD101338,2024-01-15 09:22:08,Dumbbell 5kg,Sports & Fitness,1366,3,4098,Returning,Noida,Netbanking
ORD101406,2025-07-02 16:24:14,Body Lotion,Beauty & Personal Care,247,1,247,New,Noida,Cash
ORD101090,2025-03-26 18:32:11,Cooking Oil 1L,Groceries,254,1,254,Returning,Kolkata,Card
ORD104209,2024-05-25 09:28:51,Bluetooth Speaker,Electronics,2660,2,5320,Returning,Pune,Card
ORD100742,2025-07-25 15:39:09,Moisturizer 50ml,Beauty & Personal Care,294,1,294,New,Pune,Card
ORD102323,2023-04-23 14:06:37,Conditioner 200ml,Beauty & Personal Care,217,2,434,Returning,Kolkata,UPI
ORD103601,2024-11-10 06:21:18,Dinner Plate Set,Home & Kitchen,1503,2,3006,New,Ahmedabad,Card
ORD102123,2025-01-23 23:03:52,4K Monitor,Electronics,18692,3,56076,New,Kolkata,Cash
ORD102094,2023-08-11 12:13:12,Storage Box Set,Home & Kitchen,528,3,1584,Returning,Pune,UPI
ORD100240,2024-04-14 11:25:45,Electric Kettle,Home & Kitchen,1567,2,3134,Returning,Pune,Wallet
ORD102351,2025-03-08 18:57:16,Body Lotion,Beauty & Personal Care,232,1,232,Returning,Pune,UPI
ORD101370,2023-03-28 16:42:41,Cooking Oil 1L,Groceries,224,2,448,New,Ahmedabad,Cash
ORD101057,2025-11-16 05:48:52,Hoodie,Clothing,1455,3,4365,Returning,Delhi,Card
ORD104816,2024-09-20 07:23:27,Storage Box Set,Home & Kitchen,492,2,984,New,Noida,UPI
ORD100199,2023-09-24 05:23:30,Tea 250g,Groceries,213,1,213,Returning,Kolkata,Wallet
ORD102280,2025-02-25 21:18:12,Deodorant,Beauty & Personal Care,227,1,227,Returning,Noida,UPI
ORD104749,2024-02-23 12:03:23,Pasta 500g,Groceries,130,1,130,New,Ahmedabad,UPI
ORD102220,2025-06-11 08:09:18,Sports Bottle,Sports & Fitness,294,1,294,Returning,Delhi,Card
ORD104771,2024-06-19 07:12:09,Cooking Oil 1L,Groceries,251,1,251,Returning,Chennai,Card
ORD102819,2024-07-16 16:52:56,Sports Bottle,Sports & Fitness,287,2,574,New,Mumbai,Netbanking
ORD103150,2024-06-22 05:54:09,Body Lotion,Beauty & Personal Care,249,1,249,Returning,Bengaluru,Card
ORD104256,2025-03-10 07:41:44,Women T-Shirt,Clothing,496,2,992,Returning,Mumbai,Card
ORD103107,2024-06-11 15:34:00,Portable SSD 500GB,Electronics,5226,1,5226,Returning,Kolkata,Wallet
ORD101973,2024-06-28 14:22:27,Vacuum Flask,Home & Kitchen,655,1,655,New,Mumbai,UPI
ORD101375,2024-02-11 13:48:30,Conditioner 200ml,Beauty & Personal Care,184,1,184,New,Kolkata,UPI
ORD103968,2024-06-15 22:00:44,Pasta 500g,Groceries,128,1,128,Returning,Delhi,Card
ORD104062,2024-11-18 05:22:45,Gym Gloves,Sports & Fitness,368,1,368,New,Hyderabad,Netbanking
ORD104445,2023-12-02 14:42:24,Coffee 250g,Groceries,372,1,372,Returning,Noida,Cash
ORD103557,2025-10-03 16:41:19,Fitness Tracker Basic,Sports & Fitness,2538,3,7614,Returning,Gurgaon,Card
ORD100964,2024-10-06 08:35:32,Women T-Shirt,Clothing,554,1,554,Returning,Delhi,Card
ORD100179,2023-08-21 04:53:21,Sugar 1kg,Groceries,49,1,49,New,Chennai,Card
ORD103698,2025-01-03 22:35:24,Sunscreen 50ml,Beauty & Personal Care,402,1,402,Returning,Delhi,Card
ORD103821,2024-01-01 20:14:11,Cushion Cover Pack,Home & Kitchen,386,1,386,New,Noida,Card
ORD104878,2024-10-27 20:39:53,Hand Blender,Home & Kitchen,1946,2,3892,Returning,Mumbai,Card
ORD103899,2023-09-11 00:22:26,Hand Blender,Home & Kitchen,2092,1,2092,Returning,Pune,UPI
ORD104487,2025-02-11 17:20:23,Storage Box Set,Home & Kitchen,472,1,472,Returning,Hyderabad,Wallet
ORD103238,2025-02-14 07:34:57,Vacuum Flask,Home & Kitchen,689,1,689,Returning,Ahmedabad,Card
ORD102974,2024-11-01 11:37:33,HD Webcam,Electronics,1311,2,2622,New,Gurgaon,Wallet
ORD103580,2024-06-10 21:35:36,Sports Bottle,Sports & Fitness,261,2,522,Returning,Bengaluru,Card
ORD102887,2024-05-12 22:19:12,Socks Pack,Clothing,180,1,180,New,Chennai,UPI
ORD102575,2024-05-26 19:31:08,Salt 1kg,Groceries,24,1,24,Returning,Kolkata,Cash
ORD101419,2024-07-11 11:13:25,HD Webcam,Electronics,1367,2,2734,New,Noida,Netbanking
ORD103907,2024-07-25 05:50:44,4K Monitor,Electronics,19934,2,39868,New,Gurgaon,Cash
ORD104673,2023-12-31 01:42:35,Non-stick Pan,Home & Kitchen,1351,4,5404,New,Chennai,Card
ORD104902,2024-07-25 06:15:21,Sugar 1kg,Groceries,49,1,49,New,Delhi,UPI
ORD101860,2024-01-10 21:34:22,Dinner Plate Set,Home & Kitchen,1493,1,1493,New,Delhi,Card
ORD100008,2024-02-15 08:28:15,Socks Pack,Clothing,192,2,384,Returning,Gurgaon,Card
ORD102894,2025-03-31 07:21:26,Lip Balm,Beauty & Personal Care,102,2,204,Returning,Pune,Netbanking
ORD102847,2023-10-06 00:19:30,LED Desk Lamp,Home & Kitchen,775,3,2325,Returning,Mumbai,Card
ORD103664,2024-10-15 15:35:13,Portable SSD 500GB,Electronics,5066,2,10132,Returning,Hyderabad,Cash
ORD100144,2025-02-24 11:25:04,Sunscreen 50ml,Beauty & Personal Care,386,1,386,New,Mumbai,Card
ORD102104,2025-07-22 02:35:34,Gaming Keyboard,Electronics,2361,5,11805,New,Noida,Cash
ORD103143,2024-06-08 03:06:21,Milk 1L,Groceries,47,2,94,New,Gurgaon,Cash
ORD100841,2025-07-19 07:47:54,Cutlery Set,Home & Kitchen,1069,1,1069,Returning,Delhi,Netbanking
ORD101128,2024-08-23 17:25:01,Gaming Keyboard,Electronics,2449,2,4898,Returning,Gurgaon,Card
ORD100151,2023-05-13 02:28:27,Women T-Shirt,Clothing,486,1,486,New,Hyderabad,Card
ORD103591,2024-05-15 00:34:08,Storage Box Set,Home & Kitchen,499,1,499,New,Noida,Card
ORD101052,2025-06-28 16:22:09,Resistance Bands,Sports & Fitness,638,1,638,Returning,Hyderabad,Cash
ORD101590,2025-08-03 05:04:09,4K Monitor,Electronics,18206,1,18206,New,Hyderabad,Card
ORD103008,2025-04-04 16:06:01,Cutlery Set,Home & Kitchen,982,1,982,New,Ahmedabad,UPI
ORD102029,2023-10-12 06:19:32,Gym Gloves,Sports & Fitness,341,1,341,New,Hyderabad,Cash
ORD103418,2024-03-23 17:05:03,Men Tee,Clothing,405,1,405,New,Ahmedabad,Card
ORD101807,2025-05-28 03:26:55,Women T-Shirt,Clothing,496,2,992,Returning,Noida,Card
ORD102696,2024-02-24 16:24:37,Non-stick Pan,Home & Kitchen,1261,1,1261,New,Bengaluru,UPI
ORD103039,2024-08-02 11:29:07,Bed Sheets,Home & Kitchen,1819,1,1819,Returning,Noida,Cash
ORD100472,2024-08-22 23:06:42,Salt 1kg,Groceries,25,1,25,Returning,Noida,Card
ORD103289,2024-07-18 10:18:48,Perfume 30ml,Beauty & Personal Care,840,3,2520,Returning,Ahmedabad,UPI
ORD104074,2025-06-25 11:18:23,Coffee 250g,Groceries,370,4,1480,Returning,Noida,UPI
ORD103496,2025-02-26 10:03:46,Dumbbell 5kg,Sports & Fitness,1462,1,1462,New,Kolkata,Cash
ORD100279,2024-11-01 20:20:59,Dress,Clothing,1909,1,1909,New,Ahmedabad,UPI
ORD101741,2024-11-22 11:38:54,Sport Shorts,Clothing,614,1,614,New,Chennai,Wallet
ORD104624,2025-08-26 11:57:31,Rice 5kg,Groceries,372,4,1488,Returning,Mumbai,Card
ORD102886,2023-08-13 20:04:41,Hand Sanitizer 200ml,Beauty & Personal Care,97,1,97,Returning,Bengaluru,Card
ORD101941,2024-01-16 17:52:29,Socks Pack,Clothing,197,2,394,Returning,Bengaluru,Wallet
ORD100100,2025-05-21 00:45:57,Sport Shorts,Clothing,623,3,1869,New,Ahmedabad,Card
ORD102804,2024-10-08 22:29:27,Dress,Clothing,1796,2,3592,Returning,Noida,UPI
ORD103570,2024-04-13 02:19:43,Protein Shaker,Sports & Fitness,414,1,414,Returning,Pune,Card
ORD103684,2024-08-02 16:43:19,Rice 5kg,Groceries,412,2,824,Returning,Ahmedabad,Card
ORD103661,2024-04-27 07:52:49,Cooking Oil 1L,Groceries,251,1,251,New,Ahmedabad,Card
ORD100530,2024-07-22 18:02:03,Non-stick Pan,Home & Kitchen,1284,1,1284,Returning,Mumbai,Cash
ORD101886,2023-12-15 23:16:29,Lip Balm,Beauty & Personal Care,101,1,101,Returning,Noida,UPI
ORD100681,2024-10-11 19:19:01,Hoodie,Clothing,1639,1,1639,New,Chennai,Wallet
ORD103794,2023-10-10 16:13:07,Men Tee,Clothing,399,3,1197,Returning,Pune,Card
ORD103944,2024-07-17 04:20:26,Rice 5kg,Groceries,388,3,1164,New,Bengaluru,Card
ORD104666,2023-09-16 15:33:02,Sugar 1kg,Groceries,50,1,50,New,Mumbai,Card
ORD102018,2025-01-12 15:10:27,Skipping Rope,Sports & Fitness,193,1,193,New,Ahmedabad,Card
ORD101096,2024-10-26 22:04:23,Bluetooth Speaker,Electronics,2625,2,5250,New,Gurgaon,UPI
ORD100829,2024-10-10 02:58:02,Running Shoes,Sports & Fitness,3240,1,3240,New,Ahmedabad,Card
ORD102805,2024-10-13 09:54:29,USB-C Charger,Electronics,844,1,844,Returning,Ahmedabad,UPI
ORD103829,2024-12-24 16:52:25,Coffee 250g,Groceries,400,1,400,Returning,Hyderabad,Netbanking
ORD104381,2024-08-19 05:41:28,Hand Sanitizer 200ml,Beauty & Personal Care,95,1,95,Returning,Ahmedabad,Card
ORD103891,2023-10-24 00:41:04,Skipping Rope,Sports & Fitness,199,1,199,Returning,Noida,Card
ORD100764,2024-03-27 23:18:24,Dinner Plate Set,Home & Kitchen,1368,1,1368,Returning,Kolkata,Card
ORD102767,2024-12-03 19:38:05,Pasta 500g,Groceries,135,1,135,New,Bengaluru,Card
ORD104328,2023-05-01 00:30:18,Hand Blender,Home & Kitchen,2132,2,4264,Returning,Hyderabad,Netbanking
ORD103295,2023-06-23 01:03:20,HD Webcam,Electronics,1441,1,1441,New,Noida,Card
ORD102194,2023-10-21 01:40:14,Gym Gloves,Sports & Fitness,332,1,332,Returning,Mumbai,Card
ORD102357,2024-06-26 12:05:00,Tea 250g,Groceries,211,2,422,New,Delhi,Card
ORD103425,2025-06-26 22:54:43,Dumbbell 5kg,Sports & Fitness,1481,1,1481,New,Noida,Card
ORD103979,2024-06-08 01:09:01,Salt 1kg,Groceries,25,1,25,New,Kolkata,Netbanking
ORD100911,2025-04-15 19:09:11,Non-stick Pan,Home & Kitchen,1404,3,4212,Returning,Gurgaon,Card
ORD103145,2023-09-22 22:17:05,Pasta 500g,Groceries,122,1,122,New,Bengaluru,Card
ORD100999,2024-02-06 22:16:49,Running Shoes,Sports & Fitness,3029,2,6058,Returning,Pune,Card
ORD103653,2025-02-14 15:13:37,Wheat Flour 5kg,Groceries,334,4,1336,New,Bengaluru,Card
ORD102483,2024-12-20 08:31:13,Cutlery Set,Home & Kitchen,977,1,977,Returning,Mumbai,Card
ORD104076,2025-01-22 15:52:44,Wireless Mouse,Electronics,826,1,826,Returning,Kolkata,Card
ORD102370,2025-01-14 00:53:58,Yoga Mat,Sports & Fitness,941,1,941,New,Gurgaon,Card
ORD104838,2024-01-24 13:04:27,Electric Kettle,Home & Kitchen,1528,1,1528,New,Pune,Card
ORD100033,2025-09-25 16:30:29,Men Tee,Clothing,394,2,788,Returning,Delhi,UPI
ORD103789,2025-09-19 23:20:58,4K Monitor,Electronics,19779,1,19779,Returning,Hyderabad,UPI
ORD101020,2024-04-27 09:59:32,Noise Cancelling Earbuds,Electronics,3433,1,3433,Returning,Bengaluru,Cash
ORD101647,2024-10-26 15:22:33,Perfume 30ml,Beauty & Personal Care,904,3,2712,Returning,Bengaluru,Card
ORD100733,2025-03-25 01:54:55,Eggs 12pcs,Groceries,125,1,125,New,Bengaluru,Card
ORD104582,2024-05-15 14:01:09,Jacket,Clothing,2495,1,2495,New,Pune,UPI
ORD103274,2025-05-15 00:49:06,Hand Sanitizer 200ml,Beauty & Personal Care,107,1,107,New,Ahmedabad,Card
ORD101620,2024-02-18 11:45:18,Hand Sanitizer 200ml,Beauty & Personal Care,89,1,89,Returning,Chennai,Cash
ORD103135,2024-07-27 06:30:45,Deodorant,Beauty & Personal Care,252,1,252,Returning,Noida,Card
ORD102689,2024-07-29 09:48:31,Cushion Cover Pack,Home & Kitchen,388,2,776,New,Noida,Card
ORD102707,2025-01-22 19:26:30,Coffee 250g,Groceries,404,3,1212,New,Delhi,Card
ORD100297,2023-02-17 02:20:18,Pasta 500g,Groceries,133,3,399,Returning,Kolkata,Netbanking
ORD102339,2025-02-17 05:51:33,Noise Cancelling Earbuds,Electronics,3499,2,6998,New,Ahmedabad,Card
ORD100653,2023-10-06 06:21:11,Shampoo 200ml,Beauty & Personal Care,180,3,540,New,Pune,UPI
ORD103774,2024-06-29 00:09:22,Rice 5kg,Groceries,380,1,380,New,Gurgaon,Cash
ORD101255,2025-09-04 08:06:28,Hoodie,Clothing,1547,2,3094,Returning,Mumbai,Netbanking
ORD104520,2024-02-22 04:27:13,Wireless Mouse,Electronics,727,2,1454,New,Gurgaon,Card
ORD100230,2025-03-10 11:25:14,USB-C Charger,Electronics,851,1,851,New,Kolkata,Wallet
ORD103276,2024-10-22 11:40:58,Running Shoes,Sports & Fitness,2976,1,2976,New,Hyderabad,UPI
ORD103230,2024-06-26 17:31:50,Pasta 500g,Groceries,127,1,127,New,Bengaluru,Wallet
ORD100691,2024-06-08 11:22:46,Jacket,Clothing,2599,2,5198,Returning,Kolkata,Card
ORD102754,2025-08-24 09:33:20,Salt 1kg,Groceries,25,4,100,New,Ahmedabad,UPI
ORD104863,2023-09-03 12:24:10,Bluetooth Speaker,Electronics,2477,1,2477,New,Pune,Card
ORD100969,2024-06-21 13:32:40,Noise Cancelling Earbuds,Electronics,3569,1,3569,New,Noida,Card
ORD100633,2024-06-24 16:11:27,Resistance Bands,Sports & Fitness,562,2,1124,New,Hyderabad,Card
ORD104092,2025-02-19 04:23:32,Women T-Shirt,Clothing,501,1,501,Returning,Gurgaon,Card
ORD104077,2024-09-12 23:33:13,Sunscreen 50ml,Beauty & Personal Care,385,1,385,New,Mumbai,Card
ORD101321,2025-05-06 11:13:45,Milk 1L,Groceries,49,1,49,New,Chennai,Card
ORD101831,2024-11-25 22:27:48,Electric Kettle,Home & Kitchen,1494,1,1494,New,Hyderabad,UPI
